"1,""mclaren"",""McLaren"",""British"",""http://en.wikipedia.org/wiki/McLaren"",1966"
"2,""bmw_sauber"",""BMW Sauber"",""German"",""http://en.wikipedia.org/wiki/BMW_Sauber"",2006"
"3,""williams"",""Williams"",""British"",""http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering"",1977"
"4,""renault"",""Renault"",""French"",""http://en.wikipedia.org/wiki/Renault_in_Formula_One"",1977"
"5,""toro_rosso"",""Toro Rosso"",""Italian"",""http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso"",2006"
"6,""ferrari"",""Ferrari"",""Italian"",""http://en.wikipedia.org/wiki/Scuderia_Ferrari"",1950"
"7,""toyota"",""Toyota"",""Japanese"",""http://en.wikipedia.org/wiki/Toyota_Racing"",2002"
"8,""super_aguri"",""Super Aguri"",""Japanese"",""http://en.wikipedia.org/wiki/Super_Aguri_F1"",2006"
"9,""red_bull"",""Red Bull"",""Austrian"",""http://en.wikipedia.org/wiki/Red_Bull_Racing"",2005"
"10,""force_india"",""Force India"",""Indian"",""http://en.wikipedia.org/wiki/Racing_Point_Force_India"",2008"
"11,""honda"",""Honda"",""Japanese"",""http://en.wikipedia.org/wiki/Honda_Racing_F1"",1964"
"12,""spyker"",""Spyker"",""Dutch"",""http://en.wikipedia.org/wiki/Spyker_F1"",2007"
"13,""mf1"",""MF1"",""Russian"",""http://en.wikipedia.org/wiki/Midland_F1_Racing"",2006"
"14,""spyker_mf1"",""Spyker MF1"",""Dutch"",""http://en.wikipedia.org/wiki/Midland_F1_Racing"",2006"
"15,""sauber"",""Sauber"",""Swiss"",""http://en.wikipedia.org/wiki/Sauber"",1993"
"16,""bar"",""BAR"",""British"",""http://en.wikipedia.org/wiki/British_American_Racing"",1999"
"17,""jordan"",""Jordan"",""Irish"",""http://en.wikipedia.org/wiki/Jordan_Grand_Prix"",1991"
"18,""minardi"",""Minardi"",""Italian"",""http://en.wikipedia.org/wiki/Minardi"",1985"
"19,""jaguar"",""Jaguar"",""British"",""http://en.wikipedia.org/wiki/Jaguar_Racing"",2000"
"20,""prost"",""Prost"",""French"",""http://en.wikipedia.org/wiki/Prost_Grand_Prix"",1997"
"21,""arrows"",""Arrows"",""British"",""http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International"",1978"
"22,""benetton"",""Benetton"",""Italian"",""http://en.wikipedia.org/wiki/Benetton_Formula"",1986"
"23,""brawn"",""Brawn"",""British"",""http://en.wikipedia.org/wiki/Brawn_GP"",2009"
"24,""stewart"",""Stewart"",""British"",""http://en.wikipedia.org/wiki/Stewart_Grand_Prix"",1997"
"25,""tyrrell"",""Tyrrell"",""British"",""http://en.wikipedia.org/wiki/Tyrrell_Racing"",1970"
